Sub-luminal Engine,Cost,Size,CPU,Space,Power,Fuel Eff
Klingon Empire KIE-2,135,,12,17,120,1
Klingon Empire KIE-3,181,,18,17,180,1
Klingon Empire KIF-1,174,,17,19,170,1
Klingon Empire KIF-2,278,,23,19,230,1
Romulan Star Empire RIA-1,10,,1,4,10,1
Romulan Star Empire RIA-2,17,,2,4,20,1
Romulan Star Empire RIA-3,26,,3,4,30,1
Romulan Star Empire RIB-1,20,,2,5,20,1
Romulan Star Empire RIB-2,30,,3,5,30,1
Romulan Star Empire RIB-3,48,,5,5,50,1
Romulan Star Empire RIC-1,21,,1,10,10,1
Romulan Star Empire RIC-2,31,,4,10,40,1
Romulan Star Empire RIC-3,50,,5,10,50,1
Romulan Star Empire RIC-4,60,,6,10,60,1
Romulan Star Empire RID-1,34,,4,14,40,1
Romulan Star Empire RID-2,62,,8,14,80,1
Romulan Star Empire RID-3,117,,12,14,120,1
Romulan Star Empire RIE-1,104,,10,16,100,1
Romulan Star Empire RIE-2,151,,15,16,150,1
Romulan Star Empire RIE-3,178,,20,16,200,1
Romulan Star Empire RIF-1,122,,12,18,120,1
Romulan Star Empire RIE-2,202,,18,18,180,1
Romulan Star Empire RIE-3,306,,28,18,280,1
Orion Colonies OIA-1,10,,1,0.5,10,1
Orion Colonies OIA-2,19,,2,0.5,20,1
Orion Colonies OIA-3,28,,3,0.5,30,1
Orion Colonies OIB-1,12,,1,1.5,10,1
Orion Colonies OIB-2,22,,2,1.5,20,1
Orion Colonies OIB-3,33,,3,1.5,30,1
Orion Colonies OIC-1,26,,2,4,20,1
Orion Colonies OIC-2,32,,4,4,40,1
Orion Colonies OIC-3,45,,6,4,60,1
Gorn Alliance GIA-1,10,,1,5,10,1
Gorn Alliance GIA-2,20,,2,5,20,1
Gorn Alliance GIB-1,10,,1,7,10,1
Gorn Alliance GIB-2,20,,2,7,20,1
Gorn Alliance GIB-3,40,,4,7,40,1
Gorn Alliance GIC-1,20,,2,13,20,1
Gorn Alliance GIC-2,30,,3,13,30,1
Gorn Alliance GIC-3,40,,4,13,40,1
Gorn Alliance GID-1,30,,3,16,30,1
Gorn Alliance GID-2,60,,6,16,60,1
Gorn Alliance GID-3,80,,8,16,80,1
Gorn Alliance GIE-1,40,,4,19,40,1
Gorn Alliance GIE-2,70,,7,19,70,1
Gorn Alliance GIE-3,100,,10,19,100,1
Gorn Alliance GIF-1,50,,5,21,50,1
Gorn Alliance GIF-2,100,,10,21,100,1
Gorn Alliance GIF-3,150,,15,21,150,1
